"","company","reviewer","date","rate","comment"
"176","APPLE","Sara",2023-02-02,"5","Apple products are amazing my latest…"
"177","APPLE","Josiah Villanueva",2023-01-19,"1","Disappointed and Distraught"
"178","APPLE","henry cavier",2022-12-21,"2","Customer service made my phone worse…"
"179","APPLE","Camilo Diaz",2023-02-12,"1","The worse company i hate apple with…"
"180","APPLE","Muhammad Suhaib Akbar",2022-10-03,"3","Best mobile phone comoany"
"181","APPLE","Jackie S",2023-02-12,"1","Apple disabled my iTunes account for…"
"182","APPLE","omneya",2023-02-12,"1","i just upgraded from 12 to 14 pro max…"
"183","APPLE","Jeff Johnson",2023-02-02,"1","Every time I turn around there’s an…"
"184","APPLE","Antonio Valentine",2023-01-28,"1","Locked out of iCloud 2 weeks wait…"
"185","APPLE","Lucas Jones",2023-02-12,"1","Overpriced garbage"
"186","APPLE","Christian",2022-10-05,"2","Honestly my smartwatch could be better"
"187","APPLE","Sergio Baptista",2023-01-25,"5","Helping me out with the most problems"
"188","APPLE","jeff kendall",2023-01-25,"4","Really looking forward for the next…"
"189","APPLE","Makayla",2023-02-06,"1","Your voice to text sucks"
"190","APPLE","Bing Bong",2023-03-02,"1","I hate apple"
"191","APPLE","Fred Breckenridge",2023-02-15,"5","Worth every penny"
"192","APPLE","Alex Dmytriev",2023-01-21,"5","I bought apple watch"
"193","APPLE","Jcobe",2023-01-31,"5","i Loved The New iPhone 14 Thanks For…"
"194","APPLE","Mark h",2023-03-03,"5","Good app experience"
"195","APPLE","Urvish Patel",2023-02-20,"1","Customer service is absolutely ZERO."
"196","APPLE","Sal Doel",2023-02-20,"1","No customer service"
"197","APPLE","Reiner J.",2023-01-31,"5","Top Support, top Geräte"
"198","APPLE","Nimesh de silva",2022-12-31,"1","testing tessting testing"
"199","APPLE","sam smith",2023-01-26,"1","Utterly rubbish customer service"
"200","APPLE","Abbie Winthrop",2023-02-09,"4","great product"
"201","APPLE","Tashan",2022-06-21,"4","AppleCare"
"202","APPLE","Nechita Dragoş-Mugurel",2023-01-21,"1","I wish they could make their products…"
"203","APPLE","Walker Nelson",2023-01-21,"1","now before i get real heated YALL CANT…"
"204","APPLE","Ellen Gargiulo",2023-01-21,"1","Poor customer service"
"205","APPLE","Mohamed Farah",2023-01-21,"1","After being a customer since iPhone 3"
"206","APPLE","T W",2023-01-21,"1","Apple advertising 10% Military discount…"
"207","APPLE","Josh Teague",2023-01-20,"1","I been with Apple iPhone and Apple…"
"208","APPLE","claudio manuel magalhaes",2023-01-21,"1","For over 10 years of being an Apple…"
"209","APPLE","Efrain Rosario-Carlo",2023-01-20,"1","Called Apple .Customer service…"
"210","APPLE","Laney Reiter",2023-01-20,"1","I would give zero stars if possible"
"211","APPLE","Anom",2023-01-20,"5","I spoke to an agent this morning…"
"212","APPLE","Aurelia Andersson-Thorpe",2023-01-20,"1","I hate Apple"
"213","APPLE","Hotmusic",2023-01-18,"1","THE WORST SERVICES EVERRRRRRRRR."
"214","APPLE","Arun Hapu",2023-01-09,"1","I  ordered a apple 09/01/2023 from the…"
"215","APPLE","S Ha",2023-01-19,"1","Absolutely shocking Apple care service"
"216","APPLE","Dimitar",2023-01-18,"4","I switched to iPhone"
"217","APPLE","Vondell H.",2023-01-18,"5","The Eco System Though!!!!"
"218","APPLE","Mike Thompson",2023-01-16,"1","Charged me for a phone I didn't lose!"
"219","APPLE","pridehappy",2023-01-17,"5","Simply Outstanding"
"220","APPLE","Matthew L",2023-01-18,"1","Apple is an evil monopolist"
"221","APPLE","Lisa29",2023-01-17,"1","My son treated himself to the Apple…"
"222","APPLE","Molly Montgomery",2023-01-14,"1","Charged after canceling subscription"
"223","APPLE","Diane Overschmidt",2023-01-17,"1","Apple went back on their word and is…"
"224","APPLE","Joanna Cecchin",2022-11-17,"1","Worst Apple experience ever"
"225","APPLE","A M B",2023-01-17,"5","Apple is the Best!"
"226","APPLE","Mladen Mikić",2023-01-16,"1","Cant reset my macOS password without…"
"227","APPLE","Sharon S",2023-01-12,"1","Apple has the poorest customer service I have ever experienced"
"228","APPLE","DeeJay",2023-01-16,"1","Apple Censors Women & Colludes with the Erosion of Child Safegaurding"
"229","APPLE","Kim Chase",2022-09-09,"5","There is no better gadget than an Apple…"
"230","APPLE","Michael N",2023-01-03,"1","they spoil the device on purpose to…"
"231","APPLE","Paola Sanchez",2023-01-15,"1","Transferring Shared Albums Is Broken, Almost Lost 2,000 Pics and Vids"
"232","APPLE","Merrill Bohaning",2023-01-11,"1","3 weeks for password reset…"
"233","APPLE","NA",2023-01-15,"1","They shirk their responsibilities and…"
"234","APPLE","Kate Brown",2023-01-07,"5","Apple repair"
"235","APPLE","Alex S",2023-01-14,"1","iPhone 14 pro Bluetooth not working"
"236","APPLE","Linh Trần Hoàng",2023-01-14,"1","Hi there,"
"237","APPLE","Polly",2023-01-10,"1","Apple Doesn't Really Care"
"238","APPLE","Alessandro S.",2022-10-28,"1","List of Problems with iPad 8"
"239","APPLE","Smooth Criminal",2023-01-13,"4","Apple is the best"
"240","APPLE","nikki valdez",2023-01-13,"1","After 1 week of trying to confirm my…"
"241","APPLE","Geovani Oliveira",2023-01-14,"1","iTunes - my “paid” tunes are vanishing"
"242","APPLE","Marc",2023-01-13,"1","""The customer is not a moron. She's your wife."" (David Ogilvy)"
"243","APPLE","David Bragg",2023-01-12,"1","Apple Customer Alienation Dept Refuses to Stand Behind Their Products"
"244","APPLE","Alina Lloyd",2022-12-21,"1","IPhone 11 is garbage"
"245","APPLE","Andy",2022-12-13,"1","Purchase an iPhone from them and they…"
"246","APPLE","Tomas",2022-11-20,"1","No phone and no refund"
"247","APPLE","Jakob",2023-01-11,"1","Ordered an apple gift card - horrible situation"
"248","APPLE","David Puttick",2023-01-12,"1","Apple you are devious. You seem determined to make it as difficult as possible for customers seeking redress"
"249","APPLE","Raed Nour",2023-01-11,"1","APPLE SCAMMED ME"
"250","APPLE","Joe",2023-01-11,"1","Apple should be ashamed of itself and…"
"251","APPLE","gio-a",2023-01-10,"1","Locking company account for 13 days"
"252","APPLE","mushy peas",2023-01-10,"1","10th gen iPad only works with gen 1 pen…"
"253","APPLE","Lea Lea",2023-01-11,"5","Couldn't access my account without my…"
"254","APPLE","Abhijit Pal",2023-01-10,"5","Love my iPhone 14 Pro, Apple Watch Ultra, & MacBook Pro"
"255","APPLE","Umoh David",2022-10-15,"2","Very expensive and not flexible to use"
"256","APPLE","Mary Williams",2023-01-08,"4","Excellent support service"
"257","APPLE","Sara",2023-01-04,"1","The worst customer service hidden under the word ""safety"""
"258","APPLE","izet",2023-01-08,"2","Credit doesnt show"
"259","APPLE","Jess Park",2023-01-09,"1","Pathetic for a large company"
"260","APPLE","Michael Lawrence",2022-12-14,"5","Products and support are reflected in consumer choice"
"261","APPLE","David Bailey",2023-01-09,"1","Don't upgrade to Ventura"
"262","APPLE","Jennifer Brown",2023-01-09,"1","Just how bad can it get?"
"263","APPLE","K Bulgakov",2023-01-08,"1","They sell faulty devices!"
"264","APPLE","A Bhatt",2023-01-06,"5","The BEST EVER User Support Service”.   I’m Proud of being Indian Sr citizen of…"
"265","APPLE","Alex",2023-01-07,"1","Terrible experience"
"266","APPLE","R K",2023-01-06,"1","Horrible company"
"267","APPLE","T.",2023-01-06,"5","Can Apple Support be of use to me?"
"268","APPLE","Guraas Singh",2022-12-06,"1","The Fraud of Live Chat with an agent"
"269","APPLE","Max",2022-12-19,"1","Don’t buy the colored Apple iPhone…"
"270","APPLE","Arran Spencer",2023-01-06,"1","lost all my music because they weren't…"
"271","APPLE","Pedro Leo Gutiérrez",2022-11-09,"5","Fantastic service"
"272","APPLE","Andre",2023-01-05,"1","Worst customer service"
"273","APPLE","Roksana",2022-12-22,"1","Disgusting service"
"274","APPLE","Matthew Casey",2022-06-05,"3","They keep asking me to pay for every…"
"275","APPLE","Johnson Alvis",2022-06-05,"3","The batteries don’t last as long as the…"
"276","APPLE","Jennie Sullivan",2023-01-05,"1","After a previous upgrade"
"277","APPLE","Annabel Mulligan",2023-01-04,"1","Terrible service and not willing to…"
"278","APPLE","Akash Rajput",2023-01-04,"1","My Apple Watch display turned off"
"279","APPLE","Lucie",2022-12-22,"5","Best customer experience as usual And…"
"280","APPLE","Peter",2023-01-04,"1","I had a 3 month free trial with Apple…"
"281","APPLE","A W",2023-01-04,"1","Horrible self congratulatory company"
"282","APPLE","Armstrong",2022-12-16,"1","great service"
"283","APPLE","Alex",2023-01-04,"1","Made an online purchase of the 14 Pro…"
"284","APPLE","Larry",2023-01-02,"4","I just received my order of the latest…"
"285","APPLE","Andrew Harvey",2023-01-03,"1","Apple TV+ Without iDevices..."
"286","APPLE","Sandra Mensa",2022-10-15,"5","Best longevity gadget you can own"
"287","APPLE","Vito Raimondi",2022-12-27,"1","Very bad purchase experience"
"288","APPLE","Julian Henry",2022-06-05,"5","Rocking all Apple products for years…"
"289","APPLE","Nilo",2022-12-30,"1","My husband bought an iphone 10"
"290","APPLE","Yas",2022-07-01,"4","Good service."
"291","APPLE","Colin Gribble",2023-01-02,"1","My son had his iPhone stolen whilst…"
"292","APPLE","D ikki (D Ikki)",2022-12-13,"1","Bought an apple watch SE2"
"293","APPLE","Sarvesh Yadav",2022-12-19,"1","My iphone got stolen and the muggers asked me to log out of my apple ID…"
"294","APPLE","tony hall",2022-12-31,"1","The scales have fallen from my eyes"
"295","APPLE","beiduo zhou",2022-12-31,"1","I do not why the supervisor refused to…"
"296","APPLE","Yonah Greene",2022-12-30,"1","My final word on Apple."
"297","APPLE","Simon Hooper",2022-12-31,"2","Apple Homepod"
"298","APPLE","Mubarak",2022-12-31,"4","their Macbook air 13 are excellent"
"299","APPLE","Babitha Dcunha",2022-12-30,"2","Good products!!"
"300","APPLE","Madhu “noname” Gan",2022-12-30,"1","horrible service from Apple Care +"
"301","APPLE","Daniel",2022-12-29,"1","Apple screw you and the 14 day password…"
"302","APPLE","Olly J",2022-12-14,"5","Always Amazing - Fantastic Products and Support Every Times"
"303","APPLE","Veronica Moore",2022-01-16,"1","I was Sick ~ Six Months after opening MacBook"
"304","APPLE","Mariana Latimer",2022-12-29,"1","I bought an apple watch"
"305","APPLE","RJ",2022-12-28,"2","Apple warranty"
"306","APPLE","Katie Claire",2022-12-28,"2","Appalling customer support"
"307","APPLE","Suzi Howie",2022-12-26,"1","Apple watches total rip off!"
"308","APPLE","Nathalie Simmons",2022-09-07,"4","Apple gadgets are the best"
"309","APPLE","Charles Gough",2022-12-25,"1","Just spent about 2 and a half hours on…"
"310","APPLE","Vipin Ajayakumar",2022-12-24,"1","Apple won’t repair/replace for their own crap hardware"
"311","APPLE","Luca Giorgi",2022-12-22,"1","iPad Pro 3 years old power supply failed and for policy in not repairable"
"312","APPLE","Cory",2022-12-23,"1","Rubbish service from Apple"
"313","APPLE","Michael gasparotto",2022-07-31,"3","Apple products are always great but  I…"
"314","APPLE","Ariel",2022-12-22,"1","Worst online shopping experience ever!!!!"
"315","APPLE","Ant",2022-12-22,"1","Customer service is shocking"
"316","APPLE","James Park",2022-12-22,"1","I have just had the worst customer…"
"317","APPLE","Ikk d",2022-12-20,"1","Scam Company !!!"
"318","APPLE","Robert Delgado",2022-11-15,"1","I never held large amount of funds in…"
"319","APPLE","Camille Youngblood",2022-12-20,"1","I’ve ordered a 14pro twice"
"320","APPLE","Linzi Foster-nicholson",2022-12-02,"3","I’ve bought the double charging unit"
"321","APPLE","Ryan",2022-12-21,"5","very pleased."
"322","APPLE","Jennifer Waldera",2022-12-21,"1","Apple ruined Christmas"
"323","APPLE","Lofty",2022-12-21,"1","I went to trade in my iPhone with apple…"
"324","APPLE","Elsie Henderson",2022-12-21,"5","Love my phone/watch/earbuds."
"325","APPLE","AR",2022-12-14,"1","REPRESENTATIVES LIE TO YOU"
"326","APPLE","MS",2022-12-19,"1","After spending tens of thousands of…"
"327","APPLE","Debbi Cassata Moritz",2022-12-18,"1","GIFT CARDS"
"328","APPLE","E GUD",2022-11-25,"1","Horrible"
"329","APPLE","Robert Such",2022-12-08,"1","The worst online shopping experience…"
"330","APPLE","Mitchell K",2022-12-19,"1","One star just for the first Representative"
"331","APPLE","Varun P",2022-12-18,"1","Just shut down the company instead of…"
"332","APPLE","Emanuel",2022-11-30,"1","Hard to trust employee information"
"333","APPLE","UK customer",2022-11-01,"1","Spent over £300 on rip-off chargers…"
"334","APPLE","Coreson Developments",2022-12-17,"1","Manager Laura  Yorkdale mall"
"335","APPLE","Vijay Pratap Singh",2022-10-12,"5","I would like to appreciate 👍and thank…"
"336","APPLE","Alexandra Duany Saavedra",2022-12-17,"1","You’re not a Doctor’s Office"
"337","APPLE","Salim Sunji",2022-12-16,"1","genius"
"338","APPLE","James",2022-12-15,"1","£1,000 phone, The charger is extra"
"339","APPLE","Cheryl Maclean",2022-06-04,"5","Adding to the fact that it’s an…"
"340","APPLE","Company ROOK",2022-12-17,"1","Please please do not by anything from…"
"341","APPLE","copperhead",2022-12-15,"1","Avoid Apple like the Plague aka Covid"
"342","APPLE","Walida Marium",2022-11-20,"1","Worst service ever even Apple rep lies"
"343","APPLE","alexander costa",2022-12-16,"1","Horrible experience with Apple Customer…"
"344","APPLE","Nicholas Meadows",2022-12-16,"1","Absolutely the worst customer service…"
"345","APPLE","Louis Tedesco",2022-12-16,"1","Ridiculous customer service"
"346","APPLE","Blaine Cantrell",2022-12-16,"5","AIRPOD SUGGESTION"
"347","APPLE","Ted Parker",2022-12-15,"5","Greatest"
"348","APPLE","Mary",2022-12-13,"2","sold me an overpriced USB hub. Way too expensive."
"349","APPLE","Denis",2022-12-15,"1","I ordered an iPhone in November and it…"
"350","APPLE","Mr Mrs Smyth - Milton Keynes",2022-12-01,"5","Great product and great customer…"
"351","APPLE","clare dunmore",2022-12-15,"1","Fine until something goes wrong"
"352","APPLE","Doug",2022-12-14,"1","misleading and selling old computers"
"353","APPLE","Alexander",2022-12-14,"1","They can't tell me"
"354","APPLE","Mateo",2022-12-14,"1","Ordered an Apple Watch with the…"
"355","APPLE","MB",2022-12-13,"1","Pathetic customer support"
"356","APPLE","Ramona Paul",2022-12-12,"3","Usually I don't complain about Apple8"
